Size InPlaceInsertion InPlaceSelection InPlaceHeap MergeSort QuickSort
1000 6 6 0 1 0
2000 16 38 7 1 2
3000 32 8 1 14 2
4000 25 21 1 2 1
5000 36 19 1 1 1
6000 40 28 4 1 1
7000 45 33 1 1 1
8000 57 44 1 1 1
9000 72 57 1 1 1
10000 87 56 1 1 1
11000 102 73 2 2 1
12000 128 86 2 2 1
13000 143 102 2 2 1
14000 169 118 2 2 1
15000 189 136 2 2 2
16000 215 156 2 2 1
17000 244 176 3 2 2
18000 274 198 3 2 2
19000 307 226 3 3 2
20000 338 253 3 3 2
21000 376 285 3 3 2
22000 422 310 3 3 2
23000 455 348 3 3 2
24000 563 384 4 3 2
25000 551 419 4 3 3
26000 601 456 4 4 3
27000 645 495 4 4 3
28000 696 543 4 4 3
29000 748 588 5 4 3
30000 806 628 5 4 3
31000 870 678 5 4 3
32000 990 725 5 5 3
33000 999 772 6 5 3
34000 1053 832 6 5 3
35000 1134 881 6 5 4
36000 1191 936 6 5 4
37000 1331 987 6 5 4
38000 1333 1054 6 5 4
39000 1418 1115 7 5 4
40000 1480 1178 7 6 4
41000 1614 1244 7 6 4
42000 1645 1307 7 6 4
43000 1747 1375 7 6 5
44000 1868 1445 8 6 5
45000 1899 1514 8 6 5
46000 1998 1584 8 7 5
47000 2143 1665 8 7 5
48000 2170 1728 9 7 5
49000 2268 1875 9 7 5
50000 2362 1887 9 7 5
51000 2474 1974 9 8 6
52000 2561 2040 9 8 6
53000 2691 2132 10 8 6
54000 2831 2219 9 8 6
55000 2869 2312 10 8 6
56000 3064 2396 10 8 7
57000 3103 2550 10 8 6
58000 3220 2595 10 9 7
59000 3398 2686 10 9 7
60000 3454 2783 11 9 6
61000 3635 2862 11 9 7
62000 3782 3026 11 9 7
63000 3867 3057 11 9 7
64000 4010 3170 12 10 7
65000 4142 3305 12 10 7
66000 4243 3452 12 10 7
67000 4357 3501 12 10 8
68000 4501 3600 12 11 8
69000 4674 3730 13 11 8
70000 4809 3868 13 10 8
71000 4953 3940 13 11 8
72000 5051 4129 14 11 8
73000 5205 4236 14 11 8
74000 5316 4372 15 12 9
75000 5535 4465 14 12 9
76000 5624 4615 14 12 9
77000 5806 4762 15 14 11
78000 5959 4974 15 12 9
79000 6177 5074 15 12 10
80000 6426 5128 15 14 9
81000 6496 5227 15 13 9
82000 6672 5423 16 14 9
83000 6732 5534 16 13 10
84000 6949 5626 16 15 10
85000 7183 5761 17 14 10
86000 7274 5942 16 13 10
87000 7453 6125 18 15 10
88000 7733 6160 17 14 10
89000 7815 6399 17 14 10
90000 8033 6476 17 15 11
91000 8305 6707 18 15 11
92000 8381 6756 18 15 11
93000 8600 7006 18 15 10
94000 8806 7170 19 16 11
95000 8951 7327 19 15 11
96000 9162 7493 19 15 11
97000 9353 7587 20 16 12
98000 9521 8119 20 16 12
99000 9803 7986 20 16 12
100000 9966 8145 20 16 12
