Size InPlaceInsertion InPlaceSelection InPlaceHeap MergeSort QuickSort
1000 10 8 0 2 1
2000 18 27 0 1 1
3000 11 7 0 3 1
4000 21 14 0 4 3
5000 35 31 0 4 1
6000 55 32 0 5 1
7000 70 30 0 6 1
8000 64 51 0 8 3
9000 90 68 0 1 1
10000 111 102 0 1 2
11000 158 79 0 2 2
12000 162 91 0 2 1
13000 186 109 0 2 2
14000 200 126 0 3 2
15000 228 144 0 2 2
16000 261 169 0 3 2
17000 294 191 0 3 2
18000 340 220 0 3 2
19000 366 245 0 3 2
20000 407 280 0 4 2
21000 462 318 0 3 3
22000 498 350 0 3 4
23000 535 384 0 4 3
24000 597 423 0 4 3
25000 635 466 0 5 3
26000 705 503 0 5 3
27000 733 554 0 5 4
28000 808 595 0 5 4
29000 849 644 0 5 4
30000 930 687 0 5 4
31000 969 741 0 6 4
32000 1049 794 0 6 4
33000 1098 868 0 7 5
34000 1417 922 0 7 5
35000 1236 982 0 7 5
36000 1299 1032 0 7 5
37000 1395 1096 0 7 5
38000 1471 1173 0 8 6
39000 1614 1234 0 8 6
40000 1595 1304 0 8 6
41000 1690 1398 0 8 6
42000 1791 1444 0 9 6
43000 1889 1532 0 9 6
44000 1964 1563 0 9 6
45000 2049 1665 0 9 6
46000 2154 1764 0 9 7
47000 2234 1850 0 10 7
48000 2350 1912 0 10 7
49000 2442 2017 0 10 7
50000 2525 2094 0 11 7
51000 2642 2234 0 11 7
52000 2739 2304 0 11 8
53000 2824 2385 0 11 7
54000 2951 2489 0 11 8
55000 3053 2578 0 12 8
56000 3174 2666 0 12 8
57000 3288 2847 0 13 8
58000 3418 2877 0 13 9
59000 3541 3038 0 15 10
60000 3645 3114 0 14 10
61000 3747 3207 0 14 9
62000 3889 3322 0 15 9
63000 4007 3443 0 13 10
64000 4161 3614 0 13 9
65000 4249 3670 0 13 10
66000 4396 3834 0 14 10
67000 4616 4036 0 14 10
68000 4684 4055 0 14 10
69000 4808 4169 0 15 11
70000 4952 4301 0 15 11
71000 5124 4429 0 15 11
72000 5212 4544 0 15 11
73000 5406 4757 0 15 11
74000 5550 4846 0 16 11
75000 5684 4983 0 16 11
76000 5834 5153 0 17 12
77000 5983 5955 0 19 18
78000 6627 5317 0 18 12
79000 6270 5617 0 19 12
80000 6412 6433 0 18 13
81000 7170 6235 0 19 13
82000 6799 6018 0 20 13
83000 7024 6259 0 20 13
84000 7388 6527 0 20 13
85000 7799 6598 0 20 13
86000 7543 6770 0 21 14
87000 7673 7232 0 22 14
88000 8131 7367 0 23 15
89000 8007 7454 0 22 15
90000 8225 7625 0 20 15
91000 8391 7825 0 22 17
92000 8605 8054 0 24 17
93000 8772 8098 0 23 17
94000 8924 8409 0 24 15
95000 9181 8545 0 23 16
96000 9386 8775 0 24 16
97000 9540 8858 0 25 15
98000 9760 8815 0 23 15
99000 9976 9068 0 25 16
100000 10134 9312 0 24 16
